,Overall,Value,Rooms,Location,Cleanliness,Check in / front desk,Service,Business service
198,1,1,4,2,4,1,1,-1
199,1,1,1,3,1,3,1,-1
200,1,1,3,4,4,3,1,2
201,1,1,1,3,1,3,1,1
202,1,1,1,3,1,2,2,1
203,1,1,1,-1,1,-1,1,-1
204,1,3,3,-1,3,-1,3,-1
205,1,1,1,2,1,1,1,1
206,1,1,2,-1,2,-1,1,-1
207,1,1,2,5,4,1,1,4
208,1,1,3,3,2,2,1,1
209,1,1,1,3,2,1,1,4
210,1,1,1,-1,1,-1,1,-1
211,1,1,1,3,1,3,3,3
212,1,1,1,2,3,1,1,2
213,1,1,2,2,3,1,1,3
214,1,1,1,3,2,3,-1,1
215,1,1,2,1,3,1,1,1
216,1,-1,2,1,3,3,1,3
217,1,2,1,-1,2,-1,1,-1
218,1,1,1,3,4,2,1,-1
219,1,1,1,1,1,1,-1,-1
220,1,1,1,1,2,1,1,-1
221,1,1,1,1,1,1,1,1
222,1,1,1,-1,1,-1,2,-1
223,1,1,4,5,4,3,3,-1
224,1,1,1,2,1,1,1,1
225,1,1,1,2,3,3,-1,-1
226,1,1,1,1,1,1,1,1
227,1,3,3,-1,3,-1,1,-1
228,1,1,1,2,1,2,1,2
229,1,1,2,2,3,1,2,1
230,1,1,1,3,3,1,1,2
231,1,1,1,-1,1,-1,1,-1
232,1,3,3,-1,3,-1,2,-1
233,1,2,1,-1,1,-1,3,-1
234,1,1,1,-1,2,-1,1,-1
235,1,2,2,-1,1,-1,2,-1
236,1,2,4,3,5,3,2,-1
237,1,1,1,5,3,3,3,3
238,1,1,1,3,1,3,1,1
239,1,1,2,3,2,1,1,1
240,1,1,2,2,-1,3,3,-1
241,1,1,1,-1,1,-1,1,-1
242,1,-1,1,3,1,1,3,3
243,1,2,2,-1,1,-1,3,-1
244,1,1,1,2,1,1,1,-1
245,1,2,1,3,1,2,2,3
246,1,1,3,3,1,4,1,4
247,1,1,1,3,3,3,3,4
248,1,1,1,-1,1,2,2,-1
249,1,1,1,3,1,3,2,-1
250,1,1,2,2,3,1,-1,-1
251,1,2,4,4,4,1,2,3
252,1,1,2,5,1,1,1,2
253,1,1,4,1,4,2,4,-1
254,1,1,2,-1,4,-1,2,-1
255,1,1,1,-1,1,-1,2,-1
256,1,3,2,-1,1,-1,2,-1
257,1,1,1,-1,2,-1,5,-1
258,1,2,4,2,4,2,1,-1
259,1,3,1,4,3,4,2,-1
260,1,1,4,3,4,2,1,3
261,1,1,1,-1,1,-1,1,-1
262,1,2,2,4,2,2,2,-1
263,1,2,1,4,1,2,1,2
264,1,-1,2,3,4,2,2,2
265,1,1,1,5,1,1,1,3
266,1,1,1,1,1,3,3,1
267,1,1,2,1,3,2,3,3
268,1,1,2,4,1,1,1,-1
269,1,1,1,3,2,1,1,2
270,1,1,2,-1,1,-1,1,-1
271,1,1,4,4,2,5,2,-1
272,1,1,1,-1,1,3,1,-1
273,1,1,1,1,1,1,1,1
274,1,1,1,4,1,3,2,1
275,1,1,2,1,1,2,2,-1
276,1,3,1,-1,1,-1,1,-1
277,1,1,1,2,1,4,2,1
278,1,1,3,-1,3,-1,2,-1
279,1,1,1,5,2,2,1,1
280,1,2,3,1,3,2,1,3
281,1,1,1,-1,2,-1,1,-1
282,1,2,1,-1,2,-1,1,-1
283,1,1,2,5,2,1,1,1
284,1,2,1,5,4,2,2,-1
285,1,3,2,-1,4,-1,2,-1
286,1,1,2,2,2,2,1,-1
287,1,1,1,2,1,3,1,-1
288,1,1,2,1,1,3,2,-1
289,1,1,1,-1,1,-1,1,-1
290,1,1,3,3,4,1,3,-1
291,1,2,1,-1,1,-1,1,-1
292,1,1,2,4,1,1,1,2
293,1,1,2,4,4,2,1,4
294,1,1,1,-1,2,-1,3,-1
295,1,1,1,-1,2,-1,3,-1
296,1,1,1,-1,1,-1,1,-1
297,1,2,1,2,2,1,1,1
298,1,1,2,5,3,1,1,2
299,1,1,1,4,1,3,3,3
300,1,2,2,-1,4,-1,1,-1
301,1,1,2,-1,2,-1,1,-1
302,1,2,3,3,2,2,4,2
303,1,1,2,-1,1,-1,1,-1
304,1,2,2,-1,2,-1,2,-1
305,1,1,1,-1,3,-1,1,-1
306,1,1,1,1,1,1,1,1
307,1,1,1,2,1,2,1,-1
308,1,1,3,-1,3,-1,1,-1
309,1,1,1,-1,4,-1,1,-1
310,1,1,1,-1,1,-1,1,-1
311,1,1,1,-1,1,-1,1,-1
312,1,1,2,1,3,1,3,-1
313,1,1,1,3,2,3,4,2
314,1,2,1,-1,1,-1,1,-1
315,1,1,1,4,2,2,3,-1
316,1,3,1,-1,1,-1,1,-1
317,1,1,1,5,2,1,2,3
318,1,1,1,3,1,1,1,1
319,1,2,1,4,2,1,1,3
320,1,1,1,2,1,1,1,2
321,1,1,3,3,3,1,1,1
322,1,1,1,1,1,1,1,1
323,1,1,1,-1,1,-1,5,-1
324,1,1,1,2,1,1,1,-1
325,1,5,2,3,1,2,1,2
326,1,1,1,-1,1,-1,2,-1
327,1,1,1,2,1,2,2,-1
328,1,2,1,5,1,5,5,1
329,1,1,3,-1,3,-1,3,-1
330,1,1,1,1,1,1,1,1
331,1,1,2,1,1,3,1,1
332,1,1,2,4,2,1,1,-1
333,1,1,2,2,2,2,3,1
334,1,1,2,3,3,2,1,-1
335,1,1,1,2,2,1,1,-1
336,1,1,1,1,1,3,1,3
337,1,1,2,-1,3,-1,1,-1
338,1,1,1,5,1,5,2,-1
339,1,2,2,1,2,3,1,3
340,1,1,1,4,1,1,1,-1
341,1,2,3,-1,3,-1,3,-1
342,1,1,2,3,2,2,1,4
343,1,1,1,-1,1,-1,2,-1
344,1,1,1,2,1,1,1,1
345,1,1,1,1,1,1,1,1
346,1,1,1,-1,1,-1,1,-1
347,1,1,3,-1,3,-1,1,-1
348,1,1,1,-1,1,-1,1,-1
349,1,3,1,2,1,1,1,-1
350,1,1,-1,4,-1,3,2,-1
351,1,2,3,-1,3,-1,2,-1
352,1,1,1,1,1,1,1,2
353,1,2,3,2,3,1,1,-1
354,1,1,4,4,4,4,1,-1
355,1,1,3,4,1,3,3,-1
356,1,3,1,-1,1,-1,4,-1
357,1,1,1,2,1,2,2,1
358,1,1,1,-1,1,-1,1,-1
359,1,1,2,3,2,1,1,2
360,1,2,3,2,3,1,2,3
361,1,1,1,3,2,1,1,1
362,1,1,2,-1,2,-1,2,-1
363,1,3,3,4,2,2,2,3
364,1,-1,1,1,3,3,3,-1
365,1,1,2,-1,1,-1,1,-1
366,1,1,1,5,1,2,2,-1
367,1,1,2,-1,1,-1,2,-1
368,1,1,1,4,3,2,3,-1
369,1,1,1,2,3,2,2,1
370,1,2,1,-1,2,-1,1,-1
371,1,2,4,5,4,-1,1,-1
372,1,1,3,-1,1,-1,2,-1
373,1,1,2,3,1,1,2,1
374,1,1,1,1,3,3,3,3
375,1,1,2,2,2,1,1,2
376,1,1,1,3,4,1,1,-1
377,1,1,1,-1,2,-1,1,-1
378,1,1,2,-1,1,-1,1,-1
379,1,1,4,2,4,2,1,1
380,1,1,2,5,2,1,1,1
381,1,1,1,3,1,3,2,1
382,1,2,2,5,5,1,1,4
383,1,1,1,3,1,2,2,-1
384,1,1,1,4,1,3,3,-1
385,1,1,1,-1,1,-1,1,-1
386,1,1,3,3,2,1,1,2
387,1,1,2,1,1,1,3,1
388,1,1,-1,1,1,1,1,1
389,1,1,3,5,1,1,3,-1
390,1,1,1,3,1,3,2,-1
391,1,3,2,-1,2,-1,3,-1
392,1,1,1,4,1,2,1,-1
393,1,1,1,-1,1,-1,2,-1
394,1,1,1,3,2,2,2,1
395,1,1,1,-1,1,-1,2,-1
396,1,1,1,4,1,2,1,1
397,1,1,2,2,2,1,1,1
398,1,1,1,3,1,3,-1,-1
399,1,1,1,-1,1,-1,2,-1
400,1,1,2,5,2,2,1,2
401,1,1,1,3,1,1,1,1
402,1,1,1,-1,3,-1,3,-1
403,1,1,1,3,2,3,2,-1
404,1,2,3,1,3,2,1,3
405,1,1,5,5,5,2,1,2
406,1,2,4,3,2,1,1,4
407,1,1,2,-1,1,-1,1,-1
408,1,1,1,2,4,2,1,2
409,1,1,1,2,1,2,1,2
410,1,1,1,3,-1,3,3,2
411,1,2,2,3,1,3,3,-1
412,1,1,1,2,2,2,1,2
413,1,1,1,1,1,1,1,1
414,1,1,1,1,1,1,1,1
415,1,1,1,2,1,3,3,1
416,1,1,1,3,1,4,3,1
417,1,1,1,5,1,1,1,-1
418,1,1,2,2,1,3,1,-1
419,1,1,1,-1,2,-1,1,-1
420,1,2,-1,2,1,1,1,2
421,1,1,2,-1,1,-1,1,-1
422,1,2,3,3,3,1,2,1
423,1,1,2,-1,2,-1,1,-1
424,1,2,3,2,1,3,-1,-1
425,1,1,1,-1,1,3,1,1
426,1,1,1,5,3,5,1,-1
427,1,1,2,-1,2,-1,1,-1
428,1,1,2,5,1,2,1,1
429,1,1,1,5,1,3,2,1
430,1,1,4,4,4,1,2,2
431,1,1,1,2,1,2,1,2
432,1,2,2,4,3,1,1,3
433,1,1,1,1,1,1,1,1
434,1,1,1,5,2,1,1,1
435,1,1,3,1,4,1,1,2
436,1,2,1,4,1,2,2,1
437,1,5,1,2,1,3,2,1
438,1,1,1,-1,1,-1,1,-1
439,1,2,3,-1,3,-1,1,-1
440,1,1,1,3,1,1,1,1
441,1,2,1,1,4,3,4,1
442,1,-1,1,3,2,1,2,1
443,1,1,1,-1,1,-1,1,-1
444,1,1,2,-1,4,-1,1,-1
445,1,2,1,2,3,1,1,-1
446,1,2,1,1,3,3,3,-1
447,1,1,1,2,1,1,1,-1
448,1,1,1,-1,3,-1,1,-1
449,1,2,2,-1,2,-1,2,-1
450,1,1,4,5,4,2,1,3
451,1,1,1,3,2,1,1,-1
452,1,1,2,5,2,1,1,-1
453,1,1,2,2,2,3,2,2
454,1,1,1,2,1,3,1,-1
455,1,1,1,2,2,1,1,3
456,1,4,5,4,4,1,1,-1
457,1,1,2,3,2,1,2,-1
458,1,2,2,3,1,1,2,1
459,1,1,1,2,4,2,1,1
460,1,1,1,1,2,1,1,1
461,1,1,1,3,1,3,3,1
462,1,1,1,4,1,1,1,1
463,1,1,1,-1,2,-1,1,-1
464,1,2,1,-1,1,-1,2,-1
465,1,1,3,3,2,3,2,1
466,1,1,1,-1,2,-1,1,-1
467,1,1,1,-1,1,-1,1,-1
468,1,1,1,2,4,4,3,-1
469,1,1,1,-1,5,-1,2,-1
470,1,1,1,4,2,1,1,-1
471,1,1,1,-1,1,-1,3,-1
472,1,3,1,3,1,3,3,-1
473,1,1,1,-1,1,-1,2,-1
474,1,1,1,-1,3,-1,2,-1
475,1,1,4,4,4,3,3,1
476,1,2,3,1,2,1,2,3
477,1,1,2,3,2,3,1,1
478,1,1,1,3,1,2,1,-1
479,1,1,1,1,2,1,1,-1
480,1,1,1,5,1,2,1,-1
481,1,1,1,5,1,5,3,-1
482,1,1,1,4,1,1,1,3
483,1,1,3,5,4,1,1,-1
484,1,1,2,4,2,1,1,1
485,1,1,2,4,3,3,3,-1
486,1,1,1,1,-1,1,1,1
487,1,1,1,4,1,3,3,1
488,1,1,1,-1,2,-1,1,-1
489,1,1,1,1,1,1,1,1
490,1,1,1,3,1,4,-1,1
491,1,1,1,4,1,4,2,-1
492,1,1,1,-1,1,-1,1,-1
493,1,3,2,1,3,3,2,3
494,1,1,-1,-1,-1,1,1,1
495,1,1,2,4,2,3,-1,4
496,1,1,1,1,3,1,1,-1
497,1,2,2,-1,2,-1,1,-1
498,1,1,2,4,4,2,2,3
499,1,1,1,1,1,1,1,1
500,1,3,1,-1,2,-1,1,-1
501,1,1,2,4,1,3,-1,2
502,1,3,1,4,1,4,2,3
503,1,-1,2,3,1,1,1,3
504,1,-1,5,2,3,4,1,-1
505,1,-1,3,3,3,2,2,1
506,1,1,1,-1,2,-1,1,-1
507,1,1,1,2,1,1,1,-1
508,1,2,5,5,4,4,3,4
509,1,2,2,4,1,3,-1,2
510,1,1,-1,5,3,3,-1,-1
511,1,3,1,-1,1,-1,3,-1
512,1,2,2,-1,4,-1,5,-1
513,1,1,1,2,1,2,-1,-1
514,1,1,1,5,2,4,1,4
515,1,1,1,1,2,2,2,1
516,1,1,1,-1,1,-1,1,-1
517,1,1,1,1,1,2,1,-1
518,1,3,2,-1,2,-1,1,-1
519,1,1,2,2,2,2,-1,-1
520,1,2,1,-1,2,-1,1,-1
521,1,1,2,1,2,3,-1,-1
522,1,1,1,-1,1,-1,1,-1
523,1,1,2,5,1,1,1,-1
524,1,2,3,-1,1,-1,2,-1
525,1,1,1,1,1,3,5,2
526,1,1,3,1,3,3,1,-1
527,1,1,1,2,1,3,1,1
528,1,1,2,1,3,2,2,-1
529,1,1,2,5,4,1,1,4
530,1,1,2,1,1,1,1,2
531,1,1,2,3,3,1,1,2
532,1,1,1,3,1,1,1,1
533,1,1,1,3,1,1,1,1
534,1,1,1,1,1,2,1,1
535,1,3,3,4,2,3,1,-1
536,1,1,2,3,2,1,1,1
537,1,-1,1,4,2,1,2,1
538,1,1,2,1,3,1,3,3
539,1,2,2,-1,2,-1,2,-1
540,1,1,4,4,3,2,1,-1
541,1,1,2,4,3,2,1,-1
542,1,1,2,-1,2,-1,2,-1
543,1,1,1,1,1,5,3,-1
544,1,1,1,2,1,1,1,2
545,1,1,1,5,3,3,1,-1
546,1,1,1,3,1,2,1,1
547,1,1,2,-1,1,-1,1,-1
548,1,1,2,-1,3,-1,1,-1
549,1,1,1,5,1,1,2,4
550,1,1,1,1,1,3,2,1
551,1,1,2,-1,2,-1,1,-1
552,1,-1,5,5,5,5,5,-1
553,1,1,4,5,5,2,3,1
554,1,1,2,-1,1,-1,1,-1
555,1,1,2,-1,2,-1,1,-1
556,1,1,2,4,1,1,1,-1
557,1,1,1,2,2,1,1,1
558,1,1,3,-1,5,-1,1,-1
559,1,3,3,4,3,1,3,1
560,1,1,3,-1,1,-1,1,-1
561,1,1,1,-1,1,-1,1,-1
562,1,1,1,-1,1,1,1,-1
563,1,1,1,3,1,2,1,-1
564,1,2,3,5,3,1,1,3
565,1,2,3,2,4,2,3,1
566,1,2,2,5,5,2,3,3
567,1,1,1,2,1,4,1,2
568,1,1,1,-1,1,-1,2,-1
569,1,1,1,1,1,1,1,1
570,1,2,1,2,1,1,1,1
571,1,1,3,2,3,1,1,2
572,1,1,2,1,5,3,1,-1
573,1,1,1,4,1,3,2,-1
574,1,1,1,1,1,1,1,1
575,1,1,1,-1,1,-1,1,-1
576,1,1,1,1,1,2,1,1
577,1,1,1,1,2,3,1,3
578,1,1,2,3,2,1,1,-1
579,1,1,3,4,3,1,1,-1
580,1,1,1,-1,1,-1,2,-1
581,1,1,1,3,1,3,3,-1
582,1,1,1,3,1,2,2,-1
583,1,1,1,-1,2,-1,3,-1
584,1,1,1,3,2,3,1,-1
585,1,1,1,3,1,2,2,-1
586,1,2,3,-1,5,-1,1,-1
587,1,2,1,4,1,3,3,3
588,1,1,3,1,3,1,1,1
589,1,1,1,-1,1,-1,3,-1
590,1,1,1,2,1,1,1,1
591,1,1,3,-1,2,-1,1,-1
592,1,1,1,4,1,1,1,-1
593,1,1,3,4,2,2,1,2
594,1,1,1,2,3,1,1,3
595,1,1,1,1,1,-1,-1,-1
596,1,1,1,-1,2,-1,1,-1
597,1,1,1,3,2,3,-1,-1
598,1,1,4,-1,4,-1,2,-1
599,1,1,4,2,4,4,2,-1
600,1,4,2,4,1,3,1,1
601,1,1,1,-1,1,-1,1,-1
602,1,1,1,3,1,2,1,3
603,1,1,3,3,2,1,1,1
604,1,3,5,-1,5,-1,5,-1
605,1,1,1,-1,1,-1,1,-1
606,1,1,1,3,1,1,1,1
607,1,1,1,-1,1,-1,2,-1
608,1,1,3,-1,3,-1,1,-1
609,1,1,1,3,2,3,4,-1
610,1,1,2,-1,2,-1,1,-1
611,1,1,3,4,1,2,1,1
612,1,1,4,5,4,3,3,3
613,1,1,1,3,1,3,3,-1
614,1,1,2,2,3,2,2,2
615,1,1,2,1,1,1,1,1
616,1,1,1,1,1,1,1,1
617,1,2,3,1,3,4,2,-1
618,1,1,2,1,1,4,3,-1
619,1,1,2,-1,1,-1,2,-1
620,1,1,1,-1,3,-1,2,-1
621,1,1,1,3,1,1,4,3
622,1,1,2,4,3,1,2,-1
623,1,2,1,-1,2,-1,1,-1
624,1,1,1,-1,1,-1,1,-1
625,1,4,4,-1,4,-1,4,-1
626,1,1,1,3,1,1,1,-1
627,1,1,1,4,1,3,1,2
628,1,1,1,4,1,3,3,2
629,1,2,2,5,1,3,3,3
630,1,2,1,1,1,1,1,1
631,1,1,2,-1,3,-1,1,-1
632,1,1,1,-1,2,-1,1,-1
633,1,1,1,-1,1,-1,1,-1
634,1,1,1,-1,3,-1,1,-1
635,1,1,1,1,4,1,1,1
636,1,1,1,1,2,4,4,-1
637,1,1,1,3,1,1,1,-1
638,1,1,1,1,4,1,1,1
639,1,1,2,2,2,3,2,-1
640,1,1,1,1,1,1,1,1
641,1,3,2,-1,1,-1,3,-1
642,1,1,2,-1,2,-1,1,-1
643,1,-1,1,1,3,3,1,3
644,1,1,1,-1,1,-1,1,-1
645,1,1,1,4,3,1,1,1
646,1,3,1,-1,3,-1,2,-1
647,1,1,1,2,1,2,2,1
648,1,1,3,1,1,3,2,-1
649,1,1,4,4,4,1,1,1
650,1,1,1,1,1,1,2,-1
651,1,1,1,1,3,3,4,3
652,1,1,1,3,3,1,1,-1
653,1,3,1,2,1,3,3,3
654,1,1,2,-1,1,-1,1,-1
655,1,2,4,5,4,2,1,2
656,1,1,1,2,1,3,2,-1
657,1,1,-1,4,-1,1,1,-1
658,1,1,1,1,1,1,1,1
659,1,2,4,4,4,5,1,5
660,1,1,4,5,5,1,4,4
661,1,1,5,4,4,3,1,-1
662,1,2,1,3,2,3,2,3
663,1,1,1,-1,1,-1,2,-1
664,1,1,2,2,3,1,3,-1
665,1,1,1,-1,1,-1,1,-1
666,1,1,2,1,3,3,1,1
667,1,1,2,3,1,1,1,1
668,1,1,1,-1,1,-1,5,-1
669,1,1,2,1,2,3,1,1
670,1,1,2,2,2,1,1,2
671,1,2,2,1,1,2,1,-1
672,1,1,3,3,3,1,1,3
673,1,1,1,4,1,1,1,-1
674,1,1,1,1,1,1,1,1
675,1,1,1,1,2,2,2,3
676,1,3,1,-1,1,-1,2,-1
677,1,1,3,4,1,2,1,1
678,1,1,2,3,3,2,2,1
679,1,1,1,2,2,1,2,1
680,1,1,1,-1,2,-1,2,-1
681,1,3,3,-1,3,-1,3,-1
682,1,2,2,-1,4,-1,1,-1
683,1,1,1,2,1,2,1,2
684,1,2,2,-1,3,-1,1,-1
685,1,1,1,-1,3,-1,1,-1
686,1,1,1,3,3,-1,1,1
687,1,1,1,-1,1,-1,1,-1
688,1,1,2,4,2,1,1,2
689,1,1,1,-1,1,-1,1,-1
690,1,1,1,3,1,3,-1,3
691,1,2,1,4,1,1,1,1
692,1,1,2,-1,3,-1,4,-1
693,1,2,2,-1,2,-1,1,-1
694,1,1,1,1,3,1,1,-1
695,1,1,1,4,2,2,-1,-1
696,1,1,1,2,1,1,1,1
697,1,1,3,3,3,1,1,1
698,1,1,1,4,3,1,1,-1
699,1,2,3,-1,3,-1,1,-1
700,1,1,2,-1,3,-1,1,-1
701,1,1,-1,-1,-1,1,1,1
702,1,1,1,3,1,2,2,2
703,1,1,1,1,1,1,1,1
704,1,3,2,2,1,2,2,3
705,1,1,2,3,2,1,1,1
706,1,1,1,4,1,3,2,-1
707,1,1,2,3,2,1,1,3
708,1,2,1,5,1,2,1,-1
709,1,1,1,4,2,3,3,-1
710,1,1,1,1,1,1,2,2
711,1,2,1,2,1,1,1,1
712,1,1,1,1,1,5,1,-1
713,1,2,1,1,1,3,3,2
714,1,1,4,5,4,1,1,-1
715,1,1,1,1,2,1,2,1
716,1,1,2,5,3,3,3,1
717,1,2,3,1,2,1,1,1
718,1,1,1,-1,2,-1,1,-1
719,1,2,1,2,1,2,2,1
720,1,1,1,3,3,1,1,2
721,1,1,1,4,1,5,-1,-1
722,1,4,4,5,4,5,5,-1
723,1,2,1,3,1,1,1,1
724,1,1,1,-1,4,-1,3,-1
